the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E61000001361C3D32B8152C0315F5E807D524440,3105732,4354880,3 AVENUE,,2020-10-03 07:40:00+00,40.644455,-74.0183,Brooklyn,11220,1,0,1,1,0,0,0,1,1,"Unsafe Speed,Traffic Control Disregarded","Motorcycle,Bike"
0101000020E6100000C02500FF947C52C0B01C210379644440,3114572,4363262,EAST 97 STREET,,2020-11-01 16:27:00+00,40.784943,-73.946594,Manhattan,10029,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E6100000130A1170087B52C09B20EA3E00674440,3115839,4365518,BRUCKNER BOULEVARD,,2020-11-05 13:44:00+00,40.804695,-73.92239,Bronx,10454,1,0,1,0,0,0,0,0,1,"Passing or Lane Usage Improper,Unspecified","Tractor Truck Diesel,Bike"
0101000020E610000002124DA0887752C061545227A0694440,3116747,4365521,BRUCKNER BOULEVARD,,2020-11-07 00:19:00+00,40.8252,-73.867714,Bronx,,1,0,1,0,0,0,0,0,1,"Alcohol Involvement,Unspecified","Sedan,E-Scooter"
0101000020E6100000454772F90F7B52C0116F9D7FBB624440,3118336,4366939,ASTORIA BOULEVARD,,2020-11-12 08:26:00+00,40.771347,-73.92285,Queens,11102,1,0,1,0,0,0,0,0,1,"Passing or Lane Usage Improper,Unspecified","Tractor Truck Diesel,E-Scooter"
0101000020E6100000C0CFB870207A52C0B4AA251DE5564440,3118173,4367428,,77        STONE AVENUE,2020-11-13 22:00:00+00,40.678867,-73.90823,Brooklyn,11233,1,0,1,0,0,0,0,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,E-Scooter
0101000020E6100000E4DA5031CE7B52C0C9737D1F0E664440,3125841,4375361,1 AVENUE,,2020-12-11 07:26:00+00,40.797306,-73.93446,Manhattan,10035,1,0,1,0,0,0,0,0,1,"Passing or Lane Usage Improper,Unspecified,Unspecified","Box Truck,Bike,Sedan"
0101000020E6100000EA95B20C717C52C0650113B8755B4440,3130307,4379372,GRAHAM AVENUE,,2020-12-23 19:34:00+00,40.71453,-73.9444,Brooklyn,11211,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Bus,Bike"
0101000020E6100000772D211FF47F52C04AD1CABDC0544440,3132487,4381549,24 STREET,,2020-12-25 00:12:00+00,40.662132,-73.999275,Brooklyn,11232,1,0,1,0,0,0,0,0,1,"Alcohol Involvement,Unspecified","Flat Bed,Bike"
0101000020E61000007B4963B48E7A52C00133DFC14F684440,3133569,4382059,EAST 149 STREET,,2021-01-07 00:48:00+00,40.814934,-73.91496,Bronx,,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Taxi,Bike"
0101000020E61000007C48F8DEDF7A52C074EACA6779524440,3141453,4390593,RALPH AVENUE,,2021-01-06 14:46:00+00,40.64433,-73.919914,Brooklyn,,1,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,E-Bike
0101000020E6100000F701486DE27E52C021CD58349D5D4440,2781829,4312935,EAST 14 STREET,,2020-05-05 10:18:00+00,40.73136,-73.98257,Manhattan,,1,0,1,0,0,0,0,0,1,"Backing Unsafely,Unspecified","Taxi,Bike"
0101000020E610000039807EDFBF7F52C0B4CBB73EAC5B4440,2082335,3699681,BOWERY,,2017-06-26 06:45:00+00,40.716194,-73.996086,Manhattan,,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","BICYCLE,TAXI"
